Fertilizer,Irrigation,Crop_Yield
Organic,Daily,57.3846658
Organic,Daily,51.71368281
Organic,Daily,48.84351718
Organic,Daily,46.98896304
Organic,Daily,35.2147801
Organic,Daily,42.80155792
Organic,Daily,45.39361229
Organic,Daily,60.57122226
Organic,Daily,53.4361829
Organic,Daily,32.36959845
Organic,Daily,53.24083969
Organic,Daily,46.1491772
Organic,Weekly,43.23078
Organic,Weekly,56.11676289
Organic,Weekly,60.30999522
Organic,Weekly,59.31280119
Organic,Weekly,41.60782477
Organic,Weekly,46.90787624
Organic,Weekly,53.31263431
Organic,Weekly,59.75545127
Organic,Weekly,45.20825762
Organic,Weekly,48.14341023
Organic,Weekly,38.93665026
Organic,Weekly,38.03793376
Synthetic,Daily,63.56240029
Synthetic,Daily,49.27989878
Synthetic,Daily,60.03532898
Synthetic,Daily,53.61636025
Synthetic,Daily,43.54880245
Synthetic,Daily,53.61395606
Synthetic,Daily,65.38036566
Synthetic,Daily,49.64173961
Synthetic,Daily,65.64643656
Synthetic,Daily,23.80254896
Synthetic,Daily,58.21902504
Synthetic,Daily,50.87047068
Synthetic,Weekly,47.0099265
Synthetic,Weekly,50.91760777
Synthetic,Weekly,30.12431085
Synthetic,Weekly,47.80328112
Synthetic,Weekly,53.57112572
Synthetic,Weekly,64.77894045
Synthetic,Weekly,44.81729782
Synthetic,Weekly,41.91506397
Synthetic,Weekly,44.98242956
Synthetic,Weekly,59.15402118
Synthetic,Weekly,53.2875111
Synthetic,Weekly,44.70239796
